,spotId,cellCount
1093,X105x27,9
1094,X101x57,13
1095,X91x31,12
1096,X24x38,5
1097,X57x35,9
1098,X25x53,14
1099,X93x29,13
1100,X42x60,14
2565,X25x31,10
1101,X63x27,13
1102,X103x33,7
1103,X74x42,11
1104,X66x34,12
1105,X101x23,16
1106,X91x51,15
1107,X104x36,6
1108,X70x58,7
1109,X81x63,14
1110,X69x37,12
1111,X38x34,8
1112,X67x53,10
1113,X68x26,13
1114,X100x26,12
1115,X4x62,6
1116,X93x53,12
1117,X69x35,3
1118,X59x63,6
1119,X104x54,15
1120,X66x30,15
2566,X17x45,10
1121,X62x52,10
1122,X101x13,14
2567,X64x70,10
1123,X82x36,12
1124,X85x63,8
1125,X102x14,11
1126,X68x62,7
1127,X75x63,18
1128,X26x40,5
1129,X5x43,18
1130,X96x24,9
1131,X106x74,11
1132,X26x50,13
1133,X78x60,9
1134,X62x22,14
1135,X23x51,12
1136,X39x43,4
1137,X59x19,7
1138,X50x62,4
1139,X109x23,11
2568,X7x55,10
1140,X59x29,8
1141,X99x23,13
1142,X68x24,12
1143,X12x60,11
1144,X64x60,5
1145,X96x72,11
1146,X81x41,11
1147,X26x56,10
2569,X18x60,10
1148,X82x70,12
1149,X104x22,17
1150,X110x24,10
1151,X17x43,5
1152,X90x66,18
1153,X68x48,7
1154,X70x32,10
1155,X21x57,3
1156,X62x32,8
1157,X100x46,16
1158,X58x54,6
1159,X69x19,9
1160,X53x47,11
1161,X106x22,14
2570,X101x31,10
1162,X111x61,11
1163,X76x50,14
1164,X70x54,9
1165,X101x61,16
1166,X77x21,6
1167,X62x40,10
1168,X93x63,12
2571,X73x71,10
1169,X90x16,12
1170,X35x49,9
1171,X75x53,10
1172,X112x20,14
1173,X53x29,7
1174,X88x50,20
1175,X13x51,16
1176,X55x49,9
2572,X26x48,10
1177,X81x17,15
1178,X107x73,10
1179,X89x37,15
1180,X96x44,17
1181,X56x54,10
1182,X84x38,17
1183,X30x44,7
1184,X79x43,7
1185,X11x53,13
1186,X99x71,14
1187,X88x42,12
1188,X97x29,12
1189,X88x46,13
1190,X51x39,8
1191,X46x56,8
1192,X83x23,12
1193,X70x42,12
1194,X89x55,12
1195,X58x48,13
1196,X56x22,5
1197,X112x70,15
1198,X3x51,13
1199,X45x31,10
1200,X78x22,10
1201,X15x63,5
2573,X102x32,10
1202,X83x61,9
1203,X11x43,15
1204,X77x59,9
1205,X18x54,11
1206,X91x73,8
1207,X60x36,10
1208,X50x56,5
1209,X88x68,10
1210,X110x50,19
1211,X45x39,13
2574,X28x46,10
1212,X47x51,4
1213,X93x39,8
1214,X98x70,9
2575,X25x43,10
1215,X100x70,11
1216,X55x45,9
1217,X57x61,6
1218,X51x21,4
1219,X66x50,10
1220,X94x22,14
1221,X80x38,12
1222,X67x23,11
1223,X73x51,13
1224,X84x50,8
1225,X87x41,14
1226,X64x44,12
1227,X66x54,13
1228,X0x44,18
1229,X94x60,17
1230,X40x32,10
2576,X7x57,10
1231,X92x40,11
1232,X20x60,10
1233,X109x27,7
1234,X51x45,7
1235,X52x60,13
1236,X103x37,12
1237,X54x56,6
2577,X21x35,10
2578,X23x33,10
1238,X110x16,15
1239,X68x18,8
1240,X52x30,6
1241,X96x18,10
1242,X53x43,12
1243,X85x67,8
1244,X50x22,10
1245,X71x57,8
1246,X67x59,9
1247,X9x41,10
1248,X79x63,13
1249,X63x19,10
1250,X114x48,8
1251,X87x31,14
2579,X66x68,10
1252,X29x59,18
1253,X69x65,10
1254,X61x61,8
1255,X60x34,14
1256,X21x55,9
1257,X35x29,6
1258,X60x66,3
1259,X58x52,11
1260,X91x37,18
1261,X47x39,10
1262,X46x36,8
1263,X92x42,11
1264,X110x18,9
1265,X42x26,5
1266,X64x42,11
1267,X69x63,10
2580,X6x40,10
1268,X91x15,10
1269,X81x43,16
1270,X69x23,12
1271,X68x34,8
1272,X55x47,13
2581,X30x28,10
1273,X100x44,15
1274,X77x25,9
1275,X54x20,8
1276,X72x30,14
1277,X100x72,12
1278,X46x44,7
1279,X110x52,12
1280,X96x70,9
1281,X8x44,14
1282,X86x42,15
2582,X22x38,10
1283,X71x65,14
1284,X50x52,7
1285,X108x58,16
1286,X80x70,12
1287,X47x31,14
1288,X20x54,20
1289,X112x38,12
2583,X22x34,10
1290,X112x50,15
1291,X52x40,13
1292,X6x38,5
1293,X74x66,8
1294,X70x52,10
1295,X100x56,14
2584,X6x64,10
1296,X54x54,5
1297,X36x38,3
1298,X51x61,6
1299,X100x30,6
1300,X32x28,8
1301,X53x23,7
1302,X43x27,3
1303,X21x49,16
1304,X78x66,13
1305,X106x38,8
1306,X111x27,5
2585,X10x56,10
1307,X96x28,12
1308,X75x59,10
1309,X80x46,21
1310,X103x67,17
1311,X111x11,16
1312,X56x28,6
1313,X57x53,10
1314,X40x38,6
1315,X28x44,3
1316,X44x34,7
1317,X74x30,12
1318,X77x45,15
1319,X76x70,10
1320,X72x52,9
1321,X80x58,15
1322,X89x53,11
1323,X107x13,13
1324,X107x51,8
1325,X93x49,12
2586,X23x61,10
1326,X83x29,15
1327,X108x20,14
2587,X31x27,10
1328,X114x40,3
1329,X23x55,11
1330,X107x63,11
1331,X27x35,7
1332,X89x27,14
1333,X67x67,16
1334,X14x48,14
1335,X64x62,10
1336,X43x49,10
1337,X71x63,14
1338,X48x56,8
1339,X58x46,11
1340,X1x47,16
1341,X83x63,11
1342,X88x44,11
1343,X3x59,3
1344,X19x51,12
1345,X89x39,10
2588,X45x45,10
1346,X97x73,9
1347,X60x48,14
2589,X3x55,10
1348,X81x39,12
1349,X91x19,12
1350,X100x34,14
1351,X89x17,10
1352,X56x30,16
1353,X60x28,10
2590,X73x39,10
1354,X95x27,13
1355,X32x50,5
1356,X47x27,5
1357,X52x36,7
1358,X98x50,8
1359,X25x61,14
1360,X13x41,12
1361,X68x28,11
1362,X72x38,9
1363,X6x52,16
1364,X56x62,16
1365,X70x44,8
1366,X38x36,5
2591,X33x57,10
1367,X113x19,12
1368,X81x67,9
2592,X14x58,10
1369,X57x37,11
1370,X75x43,13
1371,X21x51,11
1372,X43x41,7
1373,X93x55,14
1374,X39x41,6
1375,X67x25,8
